[5/11/2015 - 13:26:14] (::1|)  => 
[16/11/2015 - 18:37:2] (::1|)  => favicon.ico
[16/11/2015 - 18:37:2] (::1|)  => favicon.ico
[16/11/2015 - 18:46:1] (::1|)  => demo
[16/11/2015 - 18:46:1] (::1|)  => favicon.ico
[16/11/2015 - 18:46:1] (::1|)  => favicon.ico
[17/11/2015 - 9:50:34] (10.0.2.2|)  => 
[17/11/2015 - 9:57:43] (10.0.2.2|)  => 
[17/11/2015 - 9:58:24] (10.0.2.2|)  => 
[17/11/2015 - 10:5:27] (10.0.2.2|)  => 
[17/11/2015 - 10:5:40] (10.0.2.2|)  => demo
[17/11/2015 - 10:5:45] (10.0.2.2|)  => modules
[17/11/2015 - 10:7:29] (10.0.2.2|)  => demo
[17/11/2015 - 12:29:23] (10.0.2.2|)  => demo
[17/11/2015 - 12:32:7] (10.0.2.2|)  => demo
[17/11/2015 - 12:32:24] (10.0.2.2|)  => demo
[17/11/2015 - 12:32:24] (10.0.2.2|)  => demo
[17/11/2015 - 12:33:57] (10.0.2.2|)  => demo
[17/11/2015 - 12:33:57] (10.0.2.2|)  => demo
[17/11/2015 - 12:33:58] (10.0.2.2|)  => demo
[17/11/2015 - 12:34:31] (10.0.2.2|)  => demo
[17/11/2015 - 12:34:32] (10.0.2.2|)  => demo
[17/11/2015 - 12:35:28] (10.0.2.2|)  => demo
[17/11/2015 - 12:35:54] (10.0.2.2|)  => demo
[17/11/2015 - 12:35:55] (10.0.2.2|)  => demo
[17/11/2015 - 12:35:56] (10.0.2.2|)  => demo
[17/11/2015 - 12:37:50] (10.0.2.2|)  => demo
[17/11/2015 - 12:37:52] (10.0.2.2|)  => demo
[17/11/2015 - 12:37:52] (10.0.2.2|)  => demo
[17/11/2015 - 12:37:52] (10.0.2.2|)  => demo
[17/11/2015 - 12:38:15] (10.0.2.2|)  => demo
[17/11/2015 - 12:38:19] (10.0.2.2|)  => demo
[17/11/2015 - 12:38:19] (10.0.2.2|)  => demo
[17/11/2015 - 12:38:20] (10.0.2.2|)  => demo
[17/11/2015 - 12:38:20] (10.0.2.2|)  => demo
[17/11/2015 - 12:38:46] (10.0.2.2|)  => demo
[17/11/2015 - 12:39:40] (10.0.2.2|)  => demo
[17/11/2015 - 12:40:33] (10.0.2.2|)  => 
[17/11/2015 - 12:40:38] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:24] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:25] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:26] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:26] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:27] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:28] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:29] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:39] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:54] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:55] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:55] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:56] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:57] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:57] (10.0.2.2|)  => demo
[17/11/2015 - 12:41:59] (10.0.2.2|)  => demo
[17/11/2015 - 12:42:14] (10.0.2.2|)  => demo
[17/11/2015 - 12:42:15] (10.0.2.2|)  => demo
[17/11/2015 - 12:42:15] (10.0.2.2|)  => demo
[17/11/2015 - 12:42:28] (10.0.2.2|)  => demo
[17/11/2015 - 12:42:56] (10.0.2.2|)  => demo
[17/11/2015 - 12:42:58] (10.0.2.2|)  => demo
[17/11/2015 - 12:43:18] (10.0.2.2|)  => demo
[17/11/2015 - 12:43:18] (10.0.2.2|)  => demo
[17/11/2015 - 12:43:18] (10.0.2.2|)  => demo
[17/11/2015 - 12:43:28] (10.0.2.2|)  => demo
[17/11/2015 - 12:44:40] (10.0.2.2|)  => demo
[17/11/2015 - 12:44:41] (10.0.2.2|)  => demo
[17/11/2015 - 12:45:3] (10.0.2.2|)  => demo
[17/11/2015 - 12:45:5] (10.0.2.2|)  => demo
[17/11/2015 - 12:45:5] (10.0.2.2|)  => demo
[17/11/2015 - 12:45:25] (10.0.2.2|)  => demo
[17/11/2015 - 12:45:26] (10.0.2.2|)  => demo
[17/11/2015 - 12:45:26] (10.0.2.2|)  => demo
[17/11/2015 - 12:45:57] (10.0.2.2|)  => demo
[17/11/2015 - 12:46:19] (10.0.2.2|)  => demo
[17/11/2015 - 12:46:24] (10.0.2.2|)  => demo
[17/11/2015 - 12:46:26] (10.0.2.2|)  => demo
[17/11/2015 - 12:46:47] (10.0.2.2|)  => demo
[17/11/2015 - 12:47:20] (10.0.2.2|)  => demo
[17/11/2015 - 12:47:21] (10.0.2.2|)  => demo
[17/11/2015 - 12:47:36] (10.0.2.2|)  => demo
[17/11/2015 - 12:48:26] (10.0.2.2|)  => demo
[17/11/2015 - 12:48:27] (10.0.2.2|)  => demo
[17/11/2015 - 12:48:28] (10.0.2.2|)  => demo
[17/11/2015 - 12:49:47] (::1|)  => demo/public/css/demo.css
[17/11/2015 - 12:56:18] (10.0.2.2|)  => demo
[17/11/2015 - 12:56:22] (10.0.2.2|)  => demo
[17/11/2015 - 12:56:24] (10.0.2.2|)  => demo
[17/11/2015 - 12:59:32] (::1|)  => demo/public/css/demo.css
[17/11/2015 - 13:0:9] (10.0.2.2|)  => demo/pus/demo.css
[17/11/2015 - 13:0:9] (10.0.2.2|)  => demo/pus/favicon.ico
[17/11/2015 - 13:0:10] (10.0.2.2|)  => demo/pus/favicon.ico
[17/11/2015 - 13:0:20] (::1|)  => demo/public/cublic/demo.css
[17/11/2015 - 13:0:26] (::1|)  => demo/public/cublic/css/demo.css
[17/11/2015 - 13:0:38] (::1|)  => demo/public/cublic/css/demo.css
[17/11/2015 - 13:0:55] (::1|)  => de8080/demo/public/css/demo.css
[17/11/2015 - 13:1:7] (10.0.2.2|)  => demo/public/css/demo.css
[17/11/2015 - 13:1:7] (10.0.2.2|)  => demo/public/css/favicon.ico
[17/11/2015 - 13:1:7] (10.0.2.2|)  => demo/public/css/favicon.ico
[17/11/2015 - 13:1:25] (10.0.2.2|)  => demo
[17/11/2015 - 13:1:25] (10.0.2.2|)  => demo/favicon.ico
[17/11/2015 - 13:1:25] (10.0.2.2|)  => demo/favicon.ico
[17/11/2015 - 13:1:28] (10.0.2.2|)  => demo/public
[17/11/2015 - 13:1:28] (10.0.2.2|)  => demo/public/favicon.ico
[17/11/2015 - 13:1:28] (10.0.2.2|)  => demo/public/favicon.ico
[17/11/2015 - 13:1:34] (10.0.2.2|)  => demo/public/css
[17/11/2015 - 13:1:37] (10.0.2.2|)  => demo/public/css/demo.css
[17/11/2015 - 14:10:43] (10.0.2.2|)  => demo/public/css/demo.css
[17/11/2015 - 14:10:49] (10.0.2.2|)  => 
[17/11/2015 - 14:10:54] (10.0.2.2|)  => demo
[17/11/2015 - 14:10:59] (10.0.2.2|)  => demo
[17/11/2015 - 14:11:43] (10.0.2.2|)  => demo
[17/11/2015 - 14:31:0] (10.0.2.2|)  => index.php
[17/11/2015 - 14:31:5] (10.0.2.2|)  => demo
[17/11/2015 - 14:34:54] (10.0.2.2|)  => demo
[17/11/2015 - 14:35:12] (10.0.2.2|)  => demo
[17/11/2015 - 14:35:49] (10.0.2.2|)  => demo
[17/11/2015 - 14:47:33] (10.0.2.2|)  => demo
[17/11/2015 - 14:48:36] (10.0.2.2|)  => demo
[17/11/2015 - 14:48:36] (10.0.2.2|)  => demo
[17/11/2015 - 14:49:11] (10.0.2.2|)  => demo
[17/11/2015 - 14:49:15] (10.0.2.2|)  => demo
[17/11/2015 - 14:49:15] (10.0.2.2|)  => array (
  'valence' => '1',
  'submit' => 'Soumettre',
)
[17/11/2015 - 14:49:28] (10.0.2.2|)  => demo
[17/11/2015 - 14:49:28] (10.0.2.2|)  => array (
  'valence' => '2',
  'submit' => 'Soumettre',
)
[17/11/2015 - 14:50:0] (10.0.2.2|)  => demo
[17/11/2015 - 14:50:1] (10.0.2.2|)  => array (
  'valence' => '2',
  'submit' => 'Soumettre',
)
[17/11/2015 - 14:50:4] (10.0.2.2|)  => demo
[17/11/2015 - 14:51:46] (10.0.2.2|)  => demo
[17/11/2015 - 14:53:30] (10.0.2.2|)  => demo
[17/11/2015 - 14:53:52] (10.0.2.2|)  => demo
[17/11/2015 - 14:53:58] (10.0.2.2|)  => demo
[17/11/2015 - 14:53:58] (10.0.2.2|)  => array (
  'valence' => '1',
  'submit' => 'Soumettre',
)
[17/11/2015 - 14:54:8] (10.0.2.2|)  => demo
[17/11/2015 - 14:54:8] (10.0.2.2|)  => array (
  'valence' => '1',
  'submit' => 'Soumettre',
)
[17/11/2015 - 15:19:23] (10.0.2.2|)  => demo
[17/11/2015 - 15:19:26] (10.0.2.2|)  => demo
[17/11/2015 - 15:21:7] (10.0.2.2|)  => demo
[17/11/2015 - 15:21:36] (10.0.2.2|)  => demo
[17/11/2015 - 15:22:1] (10.0.2.2|)  => demo
[17/11/2015 - 15:23:12] (10.0.2.2|)  => demo
[17/11/2015 - 15:23:13] (10.0.2.2|)  => demo
[17/11/2015 - 15:25:1] (10.0.2.2|)  => demo
[17/11/2015 - 15:26:3] (10.0.2.2|)  => demo
[17/11/2015 - 15:26:6] (10.0.2.2|)  => demo
[17/11/2015 - 15:26:11] (10.0.2.2|)  => demo
[17/11/2015 - 15:26:43] (10.0.2.2|)  => demo
[17/11/2015 - 15:26:47] (10.0.2.2|)  => demo
[17/11/2015 - 15:26:49] (10.0.2.2|)  => demo
[17/11/2015 - 15:27:4] (10.0.2.2|)  => demo
[17/11/2015 - 15:28:7] (10.0.2.2|)  => demo
[17/11/2015 - 15:28:7] (10.0.2.2|)  => array (
  'valence' => '2',
  'submit' => 'Soumettre',
)
[17/11/2015 - 15:35:33] (10.0.2.2|)  => demo
[17/11/2015 - 15:35:33] (10.0.2.2|)  => array (
  'valence' => '2',
  'submit' => 'Soumettre',
)
[17/11/2015 - 15:35:36] (10.0.2.2|)  => demo
[17/11/2015 - 15:35:36] (10.0.2.2|)  => array (
  'valence' => '2',
  'submit' => 'Soumettre',
)
[17/11/2015 - 15:51:17] (10.0.2.2|)  => demo
[17/11/2015 - 15:51:19] (10.0.2.2|)  => demo/t1
[17/11/2015 - 15:51:19] (10.0.2.2|)  => demo/favicon.ico
[17/11/2015 - 15:51:19] (10.0.2.2|)  => demo/favicon.ico
[17/11/2015 - 16:3:57] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:3:57] (10.0.2.2|)  => 0
[17/11/2015 - 16:3:59] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:3:59] (10.0.2.2|)  => 0
[17/11/2015 - 16:4:29] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:4:29] (10.0.2.2|)  => 1
[17/11/2015 - 16:4:30] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:4:30] (10.0.2.2|)  => 0
[17/11/2015 - 16:4:30] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:4:30] (10.0.2.2|)  => 0
[17/11/2015 - 16:4:30] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:4:30] (10.0.2.2|)  => 0
[17/11/2015 - 16:4:31] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:4:31] (10.0.2.2|)  => 1
[17/11/2015 - 16:4:31] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:4:31] (10.0.2.2|)  => 0
[17/11/2015 - 16:4:31] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:4:31] (10.0.2.2|)  => 0
[17/11/2015 - 16:4:32] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:4:32] (10.0.2.2|)  => 1
[17/11/2015 - 16:4:32] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:4:32] (10.0.2.2|)  => 1
[17/11/2015 - 16:16:14] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:16:34] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:17:6] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:17:21] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:18:40] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:19:6] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:19:7] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:19:8] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:19:54] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:19:58] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:19:59] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:19:59] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:20:0] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:20:1] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:20:1] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:20:6] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:20:8] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:20:9] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:20:11] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:20:11] (10.0.2.2|)  => array (
  'valence' => '2',
  'submit' => 'Soumettre',
)
[17/11/2015 - 16:20:14] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:20:14] (10.0.2.2|)  => array (
  'valence' => '1',
  'submit' => 'Soumettre',
)
[17/11/2015 - 16:24:25] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:25:33] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:25:35] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:25:40] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:25:57] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:25:57] (10.0.2.2|)  => array (
  'sid' => 'dlkjdf',
  'valence' => '0',
  'submit' => 'Soumettre',
)
[17/11/2015 - 16:25:58] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:25:58] (10.0.2.2|)  => array (
  'sid' => 'dlkjdf',
  'valence' => '0',
  'submit' => 'Soumettre',
)
[17/11/2015 - 16:32:39] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:32:42] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:32:43] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:33:49] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:33:50] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:35:4] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:35:7] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:36:22] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:36:24] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:39:6] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:39:39] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:39:46] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:42:10] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:42:15] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:42:20] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:46:31] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:47:9] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:48:1] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:48:14] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:49:3] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:49:9] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:49:20] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:49:24] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:49:31] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:49:38] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:49:46] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:50:54] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:51:0] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:51:3] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:51:7] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:51:14] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:51:18] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:51:22] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:52:6] (10.0.2.2|)  => demo/t1
[17/11/2015 - 16:52:23] (10.0.2.2|)  => demo/t1
[17/11/2015 - 17:9:35] (10.0.2.2|)  => demo
[17/11/2015 - 17:9:37] (10.0.2.2|)  => demo/t2
[17/11/2015 - 17:9:39] (10.0.2.2|)  => demo/t2
[17/11/2015 - 17:9:40] (10.0.2.2|)  => demo/t2
[17/11/2015 - 17:9:52] (10.0.2.2|)  => demo/t2
[17/11/2015 - 17:9:53] (10.0.2.2|)  => demo/t3
[17/11/2015 - 17:10:26] (10.0.2.2|)  => demo/t3
[17/11/2015 - 17:10:43] (10.0.2.2|)  => demo/t3
[17/11/2015 - 17:11:5] (10.0.2.2|)  => demo/t3
[17/11/2015 - 17:11:5] (10.0.2.2|)  => demo/t3
[17/11/2015 - 17:11:24] (10.0.2.2|)  => demo/t3
[17/11/2015 - 17:11:57] (10.0.2.2|)  => demo/t3
[17/11/2015 - 17:12:54] (10.0.2.2|)  => demo/t3
[17/11/2015 - 17:14:14] (10.0.2.2|)  => demo/t3
[17/11/2015 - 17:15:13] (10.0.2.2|)  => demo/t3
[17/11/2015 - 17:18:23] (10.0.2.2|)  => demo/t3
[17/11/2015 - 17:19:22] (10.0.2.2|)  => demo/t3
[17/11/2015 - 17:23:42] (10.0.2.2|)  => demo/t2
[17/11/2015 - 17:23:44] (10.0.2.2|)  => demo/t1
[17/11/2015 - 17:23:47] (10.0.2.2|)  => demo/t1
[17/11/2015 - 17:23:50] (10.0.2.2|)  => demo/t1
[17/11/2015 - 17:23:54] (10.0.2.2|)  => demo/t1
[17/11/2015 - 17:23:59] (10.0.2.2|)  => demo/t1
[17/11/2015 - 17:43:45] (10.0.2.2|)  => demo
[17/11/2015 - 17:43:54] (10.0.2.2|)  => demo/t1
[17/11/2015 - 17:43:57] (10.0.2.2|)  => demo
[18/11/2015 - 13:51:18] (::1|)  => demo
[18/11/2015 - 13:51:19] (::1|)  => favicon.ico
[18/11/2015 - 13:51:19] (::1|)  => favicon.ico
[18/11/2015 - 13:51:23] (::1|)  => demo
[18/11/2015 - 13:51:35] (::1|)  => demo
[18/11/2015 - 13:51:38] (::1|)  => demo/t1
[18/11/2015 - 13:51:38] (::1|)  => demo/favicon.ico
[18/11/2015 - 13:51:38] (::1|)  => demo/favicon.ico
[18/11/2015 - 13:51:44] (::1|)  => demo/t1
[18/11/2015 - 13:52:40] (::1|)  => demo/t1
[18/11/2015 - 13:52:43] (::1|)  => demo/t1
[18/11/2015 - 13:52:49] (::1|)  => demo/t1
[18/11/2015 - 13:52:53] (::1|)  => demo/t1
[18/11/2015 - 13:58:9] (::1|)  => demo
[18/11/2015 - 13:58:11] (::1|)  => demo/t3
[18/11/2015 - 13:58:30] (::1|)  => demo/t3
[18/11/2015 - 13:59:58] (::1|)  => demo/t3
[18/11/2015 - 14:0:11] (::1|)  => demo/t3
[18/11/2015 - 14:0:23] (::1|)  => demo/t3
[18/11/2015 - 14:0:23] (::1|)  => 

[18/11/2015 - 14:0:55] (::1|)  => demo/t3
[18/11/2015 - 14:2:36] (::1|)  => demo/t3
[18/11/2015 - 14:3:57] (::1|)  => demo/t3
[18/11/2015 - 14:4:20] (::1|)  => demo/t3
[18/11/2015 - 14:8:53] (::1|)  => demo/t3
[18/11/2015 - 14:9:12] (::1|)  => demo/t3
[18/11/2015 - 14:9:48] (::1|)  => demo/t3
[18/11/2015 - 14:9:48] (::1|)  => /home/paul/projects/custom/cpm/data/demo_pap/xml/POSITIF.xml
[18/11/2015 - 14:13:7] (::1|)  => demo/t3
[18/11/2015 - 14:13:7] (::1|)  => www-data

[18/11/2015 - 14:13:21] (::1|)  => demo/t3
[18/11/2015 - 14:13:21] (::1|)  => www-data

[18/11/2015 - 14:15:10] (::1|)  => demo
[18/11/2015 - 14:15:11] (::1|)  => favicon.ico
[18/11/2015 - 14:15:11] (::1|)  => favicon.ico
[18/11/2015 - 14:15:13] (::1|)  => demo/t3
[18/11/2015 - 14:15:13] (::1|)  => 

[18/11/2015 - 14:15:20] (::1|)  => demo/favicon.ico
[18/11/2015 - 14:15:20] (::1|)  => demo/favicon.ico
[18/11/2015 - 14:15:58] (::1|)  => demo
[18/11/2015 - 14:15:58] (::1|)  => favicon.ico
[18/11/2015 - 14:15:58] (::1|)  => favicon.ico
[18/11/2015 - 14:15:59] (::1|)  => demo/t3
[18/11/2015 - 14:15:59] (::1|)  => 

[18/11/2015 - 14:15:59] (::1|)  => demo/favicon.ico
[18/11/2015 - 14:15:59] (::1|)  => demo/favicon.ico
[18/11/2015 - 14:28:35] (::1|)  => demo
[18/11/2015 - 15:37:24] (::1|)  => demo
[18/11/2015 - 15:40:16] (::1|)  => demo
[18/11/2015 - 15:40:18] (::1|)  => demo/t3
[18/11/2015 - 15:40:27] (::1|)  => demo
[18/11/2015 - 15:40:28] (::1|)  => demo/t1
[18/11/2015 - 15:41:18] (::1|)  => demo/%5B%5BBASE_URL%5D%5D
[18/11/2015 - 15:41:19] (::1|)  => demo/t2
[18/11/2015 - 15:50:29] (::1|)  => demo/t3
[18/11/2015 - 15:50:59] (::1|)  => demo/t3
[18/11/2015 - 16:29:55] (::1|)  => demo
[18/11/2015 - 16:29:56] (::1|)  => demo/t2
[18/11/2015 - 16:30:10] (::1|)  => demo/t2
[18/11/2015 - 16:31:40] (::1|)  => demo/t2
[18/11/2015 - 16:31:44] (::1|)  => demo/t2
[18/11/2015 - 16:32:12] (::1|)  => demo/t2
[18/11/2015 - 16:32:20] (::1|)  => demo/t2
[18/11/2015 - 16:32:51] (::1|)  => demo/t2
[18/11/2015 - 16:32:56] (::1|)  => demo/t2
[18/11/2015 - 16:33:39] (::1|)  => demo/t2
[18/11/2015 - 16:33:41] (::1|)  => demo/t2
[18/11/2015 - 16:34:33] (::1|)  => 
[18/11/2015 - 16:34:37] (::1|)  => demo
[18/11/2015 - 16:34:39] (::1|)  => demo/t2
[18/11/2015 - 16:34:41] (::1|)  => demo/t2
[18/11/2015 - 17:19:52] (::1|)  => /home/paul/projects/custom/cpm/data/demo_pap/ucomp_to_deft/ucomp_to_deft2015_task3 -i /tmp/demo_deft_hyp_passage -o /tmp/demo_deft_hyp; sed -e "s/.txt//gm" /tmp/demo_deft_hyp > /tmp/demo_deft_hyp_fixed
[18/11/2015 - 17:43:0] (::1|)  => /home/paul/projects/custom/cpm/data/demo_pap/ucomp_to_deft/ucomp_to_deft2015_task3 -i /tmp/demo_deft_hyp_passage -o /tmp/demo_deft_hyp; sed -e "s/.txt//gm" /tmp/demo_deft_hyp > /tmp/demo_deft_hyp_fixed
[18/11/2015 - 17:44:17] (::1|)  => /home/paul/projects/custom/cpm/data/demo_pap/ucomp_to_deft/ucomp_to_deft2015_task3 -i /tmp/demo_deft_hyp_passage -o /tmp/demo_deft_hyp; sed -e "s/.txt//gm" /tmp/demo_deft_hyp > /tmp/demo_deft_hyp_fixed
[18/11/2015 - 20:2:1] (::1|)  => /home/paul/projects/custom/cpm/data/demo_pap/extractdeftsubsetfromentry.py /tmp/demo_deft_hyp_fixed /home/paul/projects/custom/cpm/data/demo_pap/deft2015_corpus/TESTS_REFERENCE_DATA/T3b.txt
